name		wins		losses
Florida		22		2
Kentucky		19		5
Ole Miss		16		8
Georgia		13		10
LSU		15		8
Tennessee		15		9
Vanderbilt		13		9
Arkansas		15		8
Missouri		16		7
Texas A&M		14		10
Alabama		10		14
Auburn		11		11
Mississippi St.		13		11
South Carolina		8		15
