name		wins		losses
Michigan State		20		4
Michigan		18		6
Iowa		18		6
Ohio State		19		6
Wisconsin		19		5
Minnesota		16		8
Northwestern		12		12
Indiana		14		10
Nebraska		12		10
Purdue		14		10
Illinois		14		11
Penn State		13		12
